ID,consentimiento,sexo,edad,universidad,disciplina_OCDE,sede,frecuencia_uso_ChatGPT,CT1,CT2,CT3,CT4,CT5,CT6,EC1,EC2,EC3,EC4,EC5,EC6,CC1,CC2,CC3,CC4,CC5,AC1,AC2,AC3,AC4,HE1,HE2,HE3,HE4,pregunta,aceptacion,comprension,satisfaccion,usa_ChatGPT
11,SI,Femenino,48,Universidad A,Ingeniería y Tecnología,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),4,2,2,2,4,5,3,3,2,2,3,2,4,4,4,4,4,3,3,4,4,2,3,2,3,La verdad es que lo ocupo para realizar trabajos pero yo discuto con GPT insisto le agrego datos .. le doy mi punto de vista … lo llevo a que me muestre otra alternativa en donde finalmente me guía pero soy yo la que define la estrategia y cómo quiero dirigir el trabajo. Me ayuda con la redacción y ortografía .y ha impactado positivamente dado que he tenido buenos resultados .,3,3,3,SI
12,SI,Masculino,53,Universidad A,Ingeniería y Tecnología,A distancia,A. Lo utilizo tanto como puedo (al menos una vez al día),3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,Ocupe el chat gpt para un trabajo de innovación y tecnología donde pude identificar que le trabajo estaba bien encaminado y con la ayuda del chat gpt pude terminar de buena manera el trabajo,4,4,4,SI
13,SI,Masculino,40,Universidad A,Ingeniería y Tecnología,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),4,2,3,2,4,4,4,3,3,3,3,3,4,4,4,4,3,2,2,2,4,4,3,3,4,Ayuda bastante pero no es totalmente confiable.,3,3,3,SI
14,SI,Femenino,37,Universidad A,Ingeniería y Tecnología,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),4,2,5,3,5,5,4,5,4,5,4,5,4,4,5,4,5,5,3,4,4,5,2,3,5,Lo utilizado para hacer informes  me ayuda a ordenar mis ideas y a corregir mis errores en la redacción  también utilice la revisar código y solicite que me explicara la lógica  para poder estudiar.,4,3,3,SI
15,SI,Masculino,36,Universidad A,Ingeniería y Tecnología,A distancia,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,3,4,4,4,4,5,Lo he utilizado para crear errores en sistemas dentro de un ambiente controlado (máquinas virtuales) recuerdo que en una ocasión lo utilicé para aprender a cambiar la contraseña de usuario en window para poder ingresar al sistema. Considero que ese ejemplo para una persona que olvidó su contraseña es muy útil pero  para personas con malas intenciones es peligroso.,4,4,4,SI
16,SI,Femenino,37,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,NO
17,SI,Masculino,35,Universidad A,Ingeniería y Tecnología,A distancia,A. Lo utilizo tanto como puedo (al menos una vez al día),3,2,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,1,2,1,SI
18,SI,Masculino,37,Universidad A,Ingeniería y Tecnología,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Si  en el año 2023 participé en un intercambio virtual de UDLA en conjunto con la Universidad Santo Tomás de Bogotá  para un curso de Auditoría de Sistemas Informáticos donde se me solicita evaluar con IA una Auditoría Informática.,4,4,4,SI
19,SI,Femenino,47,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,2,2,2,1,3,3,4,4,4,3,3,3,2,2,2,3,3,3,3,3,3,4,4,4,4,"La verdad no es una herramienta que utilice mucho ya que no pagaría por una cuenta oficial y en las que son libres  me da desconfianza colocar mis datos.
Pero lo he usado para encontrar libros de consulta  plantilla de CV para postular a trabajos.",3,3,3,SI
20,SI,Masculino,29,Universidad A,Ingeniería y Tecnología,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),5,5,3,4,4,3,4,5,5,5,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,SI
21,SI,Femenino,28,Universidad A,Ciencias Sociales,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,3,4,2,4,5,5,4,5,5,5,5,5,3,3,2,4,4,5,4,5,5,5,5,5,"La primera vez que utilicé ChatGPT fue para buscar la historia de una empresa que nos pidieron en un ramo. Al momento de leer la repuesta de ChatGPT  me dí cuenta de que eran ""chamullos"" y que todo lo que había escuchado sobre lo peligroso que era utilizar esta herramienta  era solo un miedo colectivo. Por lo que decidí ver a ChatGPT como eso  solo una herramienta que depende de como la uses. Ahora mismo  utilizo el sitio puramente para ayudarme a encontrar palabras más llamativas o un discurso más elocuente. ",4,4,4,SI
22,SI,Masculino,23,Universidad A,Ingeniería y Tecnología,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,A continuación  explicaré una situación en la que use ChatGPT para satisfacer una curiosidad que tuve con respecto a una ley de condominios. Hace un tiempo había escuchado a un familiar que era abogado hablar con respecto a esa ley y decir algo específico sobre esto  tiempo después en el condominio de mi pareja estaba pasando que estaban infringiendo está ley  y como lo había escuchado se lo dije  sin embargo  dije que era algo que había escuchado y como era así pude haber cometido un error así que comencé a buscarlo  cómo esa ley es extensa y la interpretación es de una forma  le pedí a chatgpt que me ayudara  pero  no pudo encontrar explícitamente lo que le pedí y dijo que en un párrafo x salía eso pero no explícito  cómo no quede conforme con esto segui leyendo la ley hasta que lo encontré y se lo hice saber a chatgpt  dando cuenta de su error  preguntando si se habia equivocado o habia dado una respuesta erronea apropósito  esta ultima pregunta la hice por curiosidad  puesto que  lo que pregunté salía tal cual en la ley y la base de datos debería haber tenido ese párrafo. Si bien  la herramienta me ayudó a confirmar que esa era la ley en la que debía buscar  se equivocó en el detalle de la pregunta  por ende  siempre reviso la información que entrega. ,4,4,4,SI
23,SI,Masculino,20,Universidad A,Ingeniería y Tecnología,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),4,2,4,3,3,3,3,3,3,4,4,2,4,4,3,3,3,3,1,2,3,4,4,4,4,,4,4,4,SI
24,SI,Masculino,24,Universidad A,Ciencias Sociales,Santiago,E. Lo utilizo menos de dos veces al mes,1,1,1,2,1,2,2,1,2,1,2,1,2,3,2,2,1,1,1,2,2,2,2,1,2,,3,3,3,SI
25,SI,Femenino,65,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,3,1,2,2,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,Poco lo entiendo  evito utilizar.,2,2,2,SI
26,SI,Femenino,54,Universidad A,Ciencias Sociales,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),5,3,5,4,4,5,4,3,3,2,5,4,5,5,5,4,5,5,5,3,5,4,4,4,4,Realizar un plan de marketing digital  asociado a ejemplos  me permitió entender funciones de algunos conceptos  además el orden en cómo plantea el desarrollo de las ideas  ayuda a comprender mejor lo que estoy consultando  en cuanto a limitaciones puede entregar planteamientos con cierta tendencia  no permitiendo la diversidad u otras posibilidades  ni explorar elementos accesorios o particulares  a quien consulta  con el fin de decidir que también son eventualmente importantes y así utilizar  en cuanto a lo ético puede ser que no da cuenta de las fuentes o derechos de autor  arrojando una respuesta producto de muchos orígenes. Por último no sé qué tan ético sea fomentar su uso si no hay normativa vigente  no obstante  al igual que ocurrió cuando se masificó internet.,4,4,4,SI
27,SI,Femenino,21,Universidad A,Ingeniería y Tecnología,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),4,4,3,4,2,3,3,4,3,2,4,3,5,5,5,4,5,5,5,5,5,5,4,2,4,La mayoría de los universitarios usamos chat gpt como un compañero de trabajos  pero no como quien hace el trabajo  y también lo tomamos para saber cómo empezar un trabajo o para tener una base de estos.,4,4,4,SI
28,SI,Masculino,36,Universidad A,Ingeniería y Tecnología,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,Sólo escribo las preguntas. Y le pido ayuda,2,2,3,SI
29,SI,Masculino,32,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,3,2,2,2,2,2,1,2,2,2,En el área profesional  no he utilizado herramientas chatGPT  ya que todavía no he investigado cómo es el funcionamiento y sus distintas aplicaciones  según lo que uno requiera buscar. Solo lo he utilizado para la vida cotidiana  buscar algo que requiero en el momento o por ocio  ya que es interesante  pero encuentro que se debe tener un estudio para sacar provecho de herramienta. ,2,2,2,SI
30,SI,Masculino,32,Universidad A,Medicina y Ciencias de La Salud,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),4,3,2,1,2,2,3,4,3,4,3,3,4,4,4,4,4,4,4,3,4,2,2,3,4,Mas que nada utilizo ChatGPT para mejorar el nivel de lo que escribo y que me sugiera aspectos sobre análisis estadísticos  creación de situaciones de salud  preguntas para pruebas  etc. Hasta el momento no he presentado problemas con aspectos éticos.,4,4,3,SI
31,SI,Masculino,33,Universidad A,Ingeniería y Tecnología,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),3,3,3,2,3,2,2,2,3,3,4,3,3,3,3,3,3,3,3,2,3,2,1,1,3,,4,4,4,SI
32,SI,Femenino,50,Universidad A,Ingeniería y Tecnología,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),5,5,4,3,3,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,Explicaciones a problemas en física  más claros de lo que se entienden a veces en clases,3,3,3,SI
33,SI,Masculino,34,Universidad A,Ingeniería y Tecnología,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),4,5,5,4,4,5,1,1,1,5,2,2,4,5,5,5,5,4,5,5,5,5,4,4,4,Solo me tarde en reconocer la fiabilidad de esta IA. ,3,4,4,SI
34,SI,Masculino,33,Universidad A,Ciencias Sociales,Viña del Mar,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no se utilizar esa aplicación,1,1,1,NO
35,SI,Femenino,36,Universidad A,Ciencias Sociales,A distancia,D. Lo utilizo ocasionalmente (2–3 veces al mes),2,2,3,3,2,3,3,1,1,2,3,2,5,3,3,4,2,4,5,3,5,2,2,2,5,Creo que es una herramienta que recopila información buena en tiempo rápido y en este caso lo he usado por lo rápido que es. O para hacer un resumen de algo que necesito aprender,4,4,4,SI
36,SI,Femenino,38,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,3,3,4,4,4,4,3,3,3,3,3,3,1,3,1,2,2,2,3,,3,3,3,SI
37,SI,Femenino,38,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,3,3,4,4,4,4,3,3,3,3,3,3,1,3,1,2,2,2,3,,3,3,3,SI
38,SI,Masculino,55,Universidad A,Ingeniería y Tecnología,A distancia,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Lo he utilizado para mejorar redacción en general  en ese sentido es una ayuda ,3,3,3,SI
39,SI,Masculino,52,Universidad A,Ciencias Sociales,Santiago,E. Lo utilizo menos de dos veces al mes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Utilizarlo para ubicar vulnerabilidades de sistemas,4,4,4,SI
40,SI,Masculino,35,Universidad A,Ingeniería y Tecnología,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,Generalmente ChatGPT lo uso para programar QUERY que me sirven en el trabajo o mini programas en Python para hacer revisiones. ,3,3,3,SI
41,SI,Femenino,47,Universidad A,Ciencias Sociales,A distancia,B. Lo utilizo casi a diario (5–6 veces a la semana o más),4,3,4,3,4,4,5,4,4,4,4,4,5,5,4,5,5,5,4,4,4,4,4,4,4,Tuve dudas con un texto que nos recomendaron en la U  busqué en chatGPT y efectivamente coincidía lo que estaba buscando versus lo mencionado en el texto ,3,3,4,SI
42,SI,Masculino,35,Universidad A,Ciencias Sociales,A distancia,A. Lo utilizo tanto como puedo (al menos una vez al día),3,5,3,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,3,3,5,En mi ambiente laboral  el uso de esta herramienta aumenta mi productividad  generando tiempo disponible para tareas más complejas. Por ejemplo  la elaboración de material para difusión de carreras  la elaboración de temáticas para material audiovisual e ideas de implementación de actividades y programas para estudiantes de enseñanza media. Siempre existe el miedo de saber cuando estás sobrepasando el uso ético. Por esa razón  en mi caso personal  lo uso para tareas que solo ayuden a mi gestión sin uso de la propiedad intelectual de otros o que tenga información inequívoca o sesgada.,4,4,4,SI
43,SI,Femenino,41,Universidad A,Ciencias Sociales,A distancia,A. Lo utilizo tanto como puedo (al menos una vez al día),5,5,5,2,2,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4,4,3,5,Lo utilice para realizar varios modelos de test para estudiantes de enseñanza media  a partir de un test entregado por una docente. Considero que es una herramienta potente que facilita el trabajo enormemente y en esa ocasión en particular me entregó el resultado que esperaba de manera clara y confiable. La prueba fue validada por la docente  por lo que la información era fidedigna  sin errores en los contenidos entregados.,4,4,4,SI
44,SI,Masculino,47,Universidad A,Ingeniería y Tecnología,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,Siempre se consulta para tener una idea de cómo enfrentar un trabajo y tener alguna referencia,4,4,4,SI
45,SI,Femenino,36,Universidad A,Ciencias Sociales,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),4,4,4,5,4,5,4,3,3,4,5,4,4,5,5,5,5,5,5,5,5,5,4,4,5,"EN PREGUNTAS DE DESARROLLO A IEL EMPRESARIAL.
MUCHAS VECES ME DA UNA GUIA HACIA DONDE DEBO DIRIGIR MI RESPUESTA. LA UTILIZZO PRINCIPALMEMTE COMO REFERENCIA  DE INICIO PARA CONSOLIDAR MIS RESPUESTAS CON MIS PROPIOS CONOCIMIENTOS Y PALABRAS.
TAMBIEN COPIO Y PEGO LAS RESPUESTAS DE MIS COMPAÑEROS  EN TRABAJOS GRUPALES  Y LE PREGUNTO AL CHAT SI LA RRESPUESTA ES SUYA O NO. ",4,4,4,SI
46,SI,Masculino,33,Universidad A,Ingeniería y Tecnología,A distancia,B. Lo utilizo casi a diario (5–6 veces a la semana o más),4,5,4,2,4,4,5,5,4,5,4,2,5,5,5,5,4,5,4,5,4,4,4,2,5,Para un trabajo de introducción a los negocios use el generador de imágenes y el corrector de código de open ia para ayudarme a realizar correcciones de la página web que nos pidieron y fotos sin derechos de autor para usarlo ,3,3,4,SI
47,SI,Masculino,26,Universidad A,Ciencias Sociales,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),3,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,2,2,2,SI
48,SI,Masculino,37,Universidad A,Ingeniería y Tecnología,A distancia,A. Lo utilizo tanto como puedo (al menos una vez al día),5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,Pude tomar información de distintas fuentes  incluidos archivos  que CHATGPT los analice y generar una respuesta enfocada en la mirada de lo requerido. Posteriormente iterar para pulir la respuesta. Al ser una herramienta se debe tener conocimiento previo sobre la información alimentada al sistema para poder determinar una correcta respuesta y elocuente a lo requerido. ,3,4,4,SI
49,NO,Masculino,25,Universidad A,Ingeniería y Tecnología,A distancia,D. Lo utilizo ocasionalmente (2–3 veces al mes),2,3,2,4,3,4,4,4,4,5,4,3,3,4,4,4,3,3,4,3,3,4,4,4,4,,2,3,2,SI
50,SI,Masculino,28,Universidad A,Ingeniería y Tecnología,A distancia,D. Lo utilizo ocasionalmente (2–3 veces al mes),4,4,4,5,4,4,4,4,4,5,5,4,4,4,4,5,5,5,5,5,5,4,4,5,5,Necesitaba corroborar si mi respuesta estaba correcta y lo verifique con ChatGpt y otra Inteligencia artificial,4,4,4,SI
51,SI,Femenino,40,Universidad A,Ingeniería y Tecnología,A distancia,D. Lo utilizo ocasionalmente (2–3 veces al mes),5,1,3,1,3,3,3,5,3,3,3,3,5,5,5,2,3,1,3,2,3,5,3,5,5,Lo utilicé para buscar el resultado de un ejercicio matemático ,4,4,3,SI
52,SI,Femenino,24,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Lo utilice para un propósito  de trabajo,4,4,4,SI
53,SI,Masculino,30,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no utilizo char gpt,1,1,1,NO
54,SI,Masculino,28,Universidad A,Ciencias Sociales,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),2,1,4,1,4,3,3,4,3,4,3,1,4,4,5,3,4,4,2,3,3,5,4,2,4,,3,3,3,SI
55,SI,Masculino,32,Universidad A,Ingeniería y Tecnología,A distancia,D. Lo utilizo ocasionalmente (2–3 veces al mes),1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,He tratado de ocupar el Chatgpt para uso laboral y no me ha dado resultado ya que las respuestas que me da no tienen la concordancia que se necesita para explicar de forma clara y precisa lo que necesito expresar,2,2,2,SI
56,SI,Femenino,19,Universidad A,Ciencias Sociales,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,4,4,5,5,3,3,4,5,5,5,5,4,4,5,5,5,4,4,3,3,2,2,2,5,Lo he utilizado para algunos trabajos pero más que nada es para guiarme con el orden de la información y la complemento con otras páginas confiables ,3,4,3,SI
57,SI,Preferiría no contestar,33,Universidad A,Ciencias Sociales,Santiago,C. Lo utilizo con frecuencia (4–5 veces al mes),5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,5,3,5,5,Para obtener un resumen de un documento y comparar respuestas de un trabajo  así obteniendo otra perspectiva y pudiendo modificar/completar y/o ajustar la respuesta en relación a lo que yo hice con la información de chat gpt ,3,3,3,SI
58,SI,Femenino,27,Universidad A,Ciencias Sociales,A distancia,B. Lo utilizo casi a diario (5–6 veces a la semana o más),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,Lo he ocupado para el trabajo para redacción ,3,1,4,SI
59,SI,Femenino,36,Universidad A,Ciencias Sociales,A distancia,D. Lo utilizo ocasionalmente (2–3 veces al mes),4,4,3,4,4,4,4,3,4,3,4,4,5,5,4,5,5,4,4,4,5,4,4,4,5,He usado chatgpt para dar mejor respuesta respecto a dudas académicas y también de la vida diaria,4,4,4,SI
60,SI,Masculino,33,Universidad A,Ciencias Sociales,A distancia,E. Lo utilizo menos de dos veces al mes,2,2,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,5,3,4,5,Utilizo chat GPT más que nada para hacer cuadros comparativos y mapas conceptuales en base a la información que le entrego. Creo que existen imprecisiones que el programa puede arrojar  por lo que sólo uso la información que este me entrega como referencia y me preocupo de revisar  corregir y complementar la información.,4,4,3,SI
61,SI,Femenino,34,Universidad A,Ciencias Sociales,Viña del Mar,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,2,2,3,3,3,3,3,5,4,3,3,4,4,4,4,4,4,4,4,5,4,2,1,4,Actualmente pertenezco a una organización social   en donde tenemos que abordar ciertas situaciones sociales   con la ayuda de chat gpt he podido tomar algunas herramientas como enfoques   perspectivas y comparaciones para determinar algunos proyectos de participación ciudadana.,3,3,4,SI
62,SI,Preferiría no contestar,35,Universidad A,Ingeniería y Tecnología,A distancia,B. Lo utilizo casi a diario (5–6 veces a la semana o más),4,1,4,2,2,3,3,3,3,3,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,Para ayudarme a desarrollar documentos de protocolo o políticas para mi trabajo,3,3,3,SI
63,SI,Masculino,44,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,"No he sentido la necesidad de utilizarlo  dado que por lo general si necesito resolver algo que no domino en profundidad  busco material y lo estudio por mi cuenta (ya sea en al ámbito académico o laboral). Una vez quise probarlo pidiendo que me indicara la fórmula para calcular el dígito verificador del RUT  pero me entregó una respuesta incorrecta. Eso sumado a la verborrea innecesaria que muchas veces he observado en los textos que genera (llegando al punto de ""cantinflear"")  me hacen desistir de utilizar esta herramienta. En el ámbito académico  trato de instar a mis compañeros a desarrollar sus propias ideas a través de la reflexión profunda y el pensamiento crítico  y de explicar estas ideas con sus propias palabras  ya que por lo general arrojará un resultado mucho más claro  fluido y personal que el ChatGPT. ",4,4,1,SI
64,SI,Femenino,35,Universidad A,Ciencias Sociales,A distancia,E. Lo utilizo menos de dos veces al mes,2,2,1,1,2,2,5,5,5,5,5,5,2,5,5,3,3,1,1,1,1,5,5,5,5,No lo uso mucho ..no me gusta ,1,3,1,NO
65,SI,Masculino,40,Universidad A,Ingeniería y Tecnología,A distancia,B. Lo utilizo casi a diario (5–6 veces a la semana o más),5,2,1,1,2,3,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,3,2,2,5,"En mi último empleo  como Ingeniero de Proyectos  tuve que generar una lista de chequeo para efectuar la certificación funcional de los entregables de un proyecto. Quería asegurarme de que el plan de pruebas abarcara todas las casuísticas para asegurar la calidad de las entregas al usuario final  asi que decidí utilizar ChatGPT para ayudarme a armar el documento de pruebas funcionales.
Como beneficios  puedo decir que ChatGPT me ayudó a acelerar la generación del documento y me entregó casuísticas que no había considerado. Como limitaciones  podría decir que a veces el chat no entendió totalmente el contexto específico del proyecto en cuestión  lo que requería iteraciones por mi parte para personalizar las respuestas.
Considero a ChatGPT como una herramienta complementaria en mi trabajo.",4,4,4,SI
66,SI,Masculino,60,Universidad A,Ciencias Sociales,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),3,2,3,1,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,4,2,2,2,4,Definiciones  resúmenes  diagramas de flujo... Problemas matemáticos... ,3,3,3,SI
67,SI,Masculino,28,Universidad A,Ingeniería y Tecnología,A distancia,D. Lo utilizo ocasionalmente (2–3 veces al mes),3,2,3,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,3,4,4,3,3,4,Para tener otro punto de vista de algunos análisis económicos ,4,3,3,SI
68,SI,Femenino,45,Universidad A,Ciencias Sociales,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),5,3,5,3,3,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,4,4,4,4,,4,4,4,SI
69,SI,Femenino,24,Universidad A,Ciencias Sociales,Viña del Mar,B. Lo utilizo casi a diario (5–6 veces a la semana o más),2,1,1,1,1,1,3,3,2,4,3,2,3,4,3,3,5,5,5,5,5,5,2,2,5,Lo utilice para mejorar mis planificaciones y adaptar el contenido para estudiantes con necesidades educativas especiales  las consideraciones éticas fueron que yo le redacté mi planificación para que realizara los ajustes de acuerdo a la características de mi curso. Estos aspectos los aborde considerando el contexto y características de mis estudiantes  dónde obtuve un resultado mejor de lo planificado en mi intervención.,4,4,4,SI
